file,group,MJD,seeing,ra,dec,gain,readnoise,date
h_e_20140417_19_1_1_1.fits,8,56764.914576,3.037272,10:02:04.138,+02:10:53.25,1.62,8.0,2014-04-17T21:56:59.335
h_e_20140126_56_1_1_1.fits,8,56684.085659,5.260734,10:02:04.279,+02:11:16.34,1.62,8.0,2014-01-27T02:03:20.935
h_e_20131229_105_1_1_1.fits,4,56656.127143,12.40793,10:01:24.088,+02:21:15.90,1.62,8.0,2013-12-30T03:03:05.188
h_e_20150422_22_1_1_1.fits,6,57134.967636,3.198086,10:00:44.484,+02:11:08.13,1.62,8.0,2015-04-22T23:13:23.792
h_e_20140504_37_1_1_1.fits,3,56781.892551,6.803762,10:00:44.274,+02:20:41.21,1.62,8.0,2014-05-04T21:25:16.403
h_e_20140405_27_1_1_1.fits,7,56752.882327,3.802301,10:01:24.242,+02:11:11.59,1.62,8.0,2014-04-05T21:10:33.077
h_e_20131224_92_1_1_1.fits,1,56651.077886,6.272861,10:01:23.487,+02:31:09.27,1.62,8.0,2013-12-25T01:52:09.325
h_e_20140311_63_1_1_1.fits,4,56728.082687,5.067118,10:01:24.386,+02:20:55.54,1.62,8.0,2014-03-12T01:59:04.123
h_e_20140416_13_1_1_1.fits,3,56763.871324,3.07216,10:00:44.080,+02:21:11.46,1.62,8.0,2014-04-16T20:54:42.359
h_e_20140403_23_1_1_1.fits,4,56750.896829,3.690378,10:01:24.255,+02:21:15.68,1.62,8.0,2014-04-03T21:31:26.049
h_e_20140502_33_1_1_1.fits,4,56779.912666,5.684925,10:01:24.544,+02:20:47.53,1.62,8.0,2014-05-02T21:54:14.380
h_e_20140423_10_1_1_1.fits,1,56770.87533,2.720944,10:01:23.990,+02:30:58.74,1.62,8.0,2014-04-23T21:00:28.533
h_e_20140302_41_1_1_1.fits,4,56718.969939,8.822161,10:01:24.205,+02:21:14.73,1.62,8.0,2014-03-02T23:16:42.710
h_e_20150428_8_1_1_1.fits,3,57140.855176,3.000998,10:00:43.503,+02:21:04.86,1.62,8.0,2015-04-28T20:31:27.191
h_e_20140106_83_1_1_1.fits,1,56664.230575,5.458804,10:01:24.880,+02:30:56.34,1.62,8.0,2014-01-07T05:32:01.673
h_e_20140502_40_1_1_1.fits,7,56779.919355,4.929208,10:01:24.460,+02:10:48.72,1.62,8.0,2014-05-02T22:03:52.256
h_e_20140304_20_1_1_1.fits,0,56720.901366,4.875528,10:00:43.830,+02:31:12.60,1.62,8.0,2014-03-04T21:37:58.022
h_e_20150506_21_1_1_1.fits,3,57148.888075,4.39878,10:00:43.624,+02:21:09.92,1.62,8.0,2015-05-06T21:18:49.720
h_e_20140514_27_1_1_1.fits,1,56791.878427,6.173305,10:01:24.620,+02:30:54.63,1.62,8.0,2014-05-14T21:04:56.078
h_e_20140321_25_1_1_1.fits,1,56737.868901,4.345583,10:01:23.853,+02:31:15.42,1.62,8.0,2014-03-21T20:51:13.051
h_e_20131218_73_1_1_1.fits,1,56645.082794,4.336119,10:01:23.433,+02:31:11.87,1.62,8.0,2013-12-19T01:59:13.374
h_e_20140513_29_1_1_1.fits,6,56790.902268,7.059896,10:00:44.350,+02:10:52.42,1.62,8.0,2014-05-13T21:39:15.987
h_e_20131124_90_1_1_1.fits,4,56621.142338,10.57289,10:01:23.420,+02:21:11.73,1.62,8.0,2013-11-25T03:24:58.007
h_e_20150414_13_1_1_1.fits,4,57126.881633,6.17076,10:01:23.833,+02:21:07.02,1.62,8.0,2015-04-14T21:09:33.126
h_e_20150418_21_1_1_1.fits,6,57130.882337,3.245154,10:00:43.665,+02:11:05.58,1.62,8.0,2015-04-18T21:10:33.926
h_e_20140406_15_1_1_1.fits,5,56753.871115,4.719477,10:02:04.097,+02:21:08.56,1.62,8.0,2014-04-06T20:54:24.344
h_e_20140306_18_1_1_1.fits,1,56722.864107,7.455704,10:01:23.159,+02:31:08.61,1.62,8.0,2014-03-06T20:44:18.876
h_e_20131219_162_1_1_1.fits,8,56646.161086,6.862352,10:02:03.940,+02:11:14.42,1.62,8.0,2013-12-20T03:51:57.849
